Time,Facade,Thru,Blocked,Total
9,1_0,11525,122431,133956
12,1_0,11525,122431,133956
3,1_0,11525,122431,133956
9,1_30,19439,114517,133956
12,1_30,19439,114517,133956
3,1_30,19439,114517,133956
9,1_60,53907,80049,133956
12,1_60,53907,80049,133956
3,1_60,53907,80049,133956
9,1_90,100552,33404,133956
12,1_90,100552,33404,133956
3,1_90,100552,33404,133956
9,fin_10_30,90768,43188,133956
12,fin_10_30,90768,43188,133956
3,fin_10_30,90768,43188,133956
9,fin_10_70,37332,96624,133956
12,fin_10_70,37332,96624,133956
3,fin_10_70,37332,96624,133956
9,fin_20_30,88206,45750,133956
12,fin_20_30,88206,45750,133956
3,fin_20_30,88206,45750,133956
9,fin_20_70,34404,99552,133956
12,fin_20_70,34404,99552,133956
3,fin_20_70,34404,99552,133956
9,fritt_15_10,123192,10764,133956
12,fritt_15_10,123192,10764,133956
3,fritt_15_10,123192,10764,133956
9,fritt_15_5,130833,3123,133956
12,fritt_15_5,130833,3123,133956
3,fritt_15_5,130833,3123,133956
9,fritt_30_10,89663,44293,133956
12,fritt_30_10,89663,44293,133956
3,fritt_30_10,89663,44293,133956
9,fritt_30_5,121004,12952,133956
12,fritt_30_5,121004,12952,133956
3,fritt_30_5,121004,12952,133956
9,louver_10_30,91134,42822,133956
12,louver_10_30,91134,42822,133956
3,louver_10_30,91134,42822,133956
9,louver_10_75,36966,96990,133956
12,louver_10_75,36966,96990,133956
3,louver_10_75,36966,96990,133956
9,louver_20_30,88206,45750,133956
12,louver_20_30,88206,45750,133956
3,louver_20_30,88206,45750,133956
9,louver_20_75,34404,99552,133956
12,louver_20_75,34404,99552,133956
3,louver_20_75,34404,99552,133956
9,louver_hor_10_30_10,91134,42822,133956
12,louver_hor_10_30_10,91134,42822,133956
3,louver_hor_10_30_10,91134,42822,133956
9,louver_hor_10_30_10_10,51240,82716,133956
12,louver_hor_10_30_10_10,51240,82716,133956
3,louver_hor_10_30_10_10,51240,82716,133956
9,louver_hor_10_30_10_20,19764,114192,133956
12,louver_hor_10_30_10_20,19764,114192,133956
3,louver_hor_10_30_10_20,19764,114192,133956
9,louver_hor_10_30_10_30,0,133956,133956
12,louver_hor_10_30_10_30,0,133956,133956
3,louver_hor_10_30_10_30,0,133956,133956
9,louver_hor_10_30_5,91134,42822,133956
12,louver_hor_10_30_5,91134,42822,133956
3,louver_hor_10_30_5,91134,42822,133956
9,louver_hor_10_30_5_10,72102,61854,133956
12,louver_hor_10_30_5_10,72102,61854,133956
3,louver_hor_10_30_5_10,72102,61854,133956
9,louver_hor_10_30_5_20,58926,75030,133956
12,louver_hor_10_30_5_20,58926,75030,133956
3,louver_hor_10_30_5_20,58926,75030,133956
9,louver_hor_10_30_5_30,53070,80886,133956
12,louver_hor_10_30_5_30,53070,80886,133956
3,louver_hor_10_30_5_30,53070,80886,133956
9,louver_hor_10_75_10,36966,96990,133956
12,louver_hor_10_75_10,36966,96990,133956
3,louver_hor_10_75_10,36966,96990,133956
9,louver_hor_10_75_10_10,732,133224,133956
12,louver_hor_10_75_10_10,732,133224,133956
3,louver_hor_10_75_10_10,732,133224,133956
9,louver_hor_10_75_10_20,0,133956,133956
12,louver_hor_10_75_10_20,0,133956,133956
3,louver_hor_10_75_10_20,0,133956,133956
9,louver_hor_10_75_10_30,0,133956,133956
12,louver_hor_10_75_10_30,0,133956,133956
3,louver_hor_10_75_10_30,0,133956,133956
9,louver_hor_10_75_5,36966,96990,133956
12,louver_hor_10_75_5,36966,96990,133956
3,louver_hor_10_75_5,36966,96990,133956
9,louver_hor_10_75_5_10,20862,113094,133956
12,louver_hor_10_75_5_10,20862,113094,133956
3,louver_hor_10_75_5_10,20862,113094,133956
9,louver_hor_10_75_5_20,15738,118218,133956
12,louver_hor_10_75_5_20,15738,118218,133956
3,louver_hor_10_75_5_20,15738,118218,133956
9,louver_hor_10_75_5_30,21594,112362,133956
12,louver_hor_10_75_5_30,21594,112362,133956
3,louver_hor_10_75_5_30,21594,112362,133956
9,louver_hor_20_30_10,88206,45750,133956
12,louver_hor_20_30_10,88206,45750,133956
3,louver_hor_20_30_10,88206,45750,133956
9,louver_hor_20_30_10_10,6954,127002,133956
12,louver_hor_20_30_10_10,6954,127002,133956
3,louver_hor_20_30_10_10,6954,127002,133956
9,louver_hor_20_30_10_20,0,133956,133956
12,louver_hor_20_30_10_20,0,133956,133956
3,louver_hor_20_30_10_20,0,133956,133956
9,louver_hor_20_30_10_30,0,133956,133956
12,louver_hor_20_30_10_30,0,133956,133956
3,louver_hor_20_30_10_30,0,133956,133956
9,louver_hor_20_30_5,88206,45750,133956
12,louver_hor_20_30_5,88206,45750,133956
3,louver_hor_20_30_5,88206,45750,133956
9,louver_hor_20_30_5_10,48678,85278,133956
12,louver_hor_20_30_5_10,48678,85278,133956
3,louver_hor_20_30_5_10,48678,85278,133956
9,louver_hor_20_30_5_20,16836,117120,133956
12,louver_hor_20_30_5_20,16836,117120,133956
3,louver_hor_20_30_5_20,16836,117120,133956
9,louver_hor_20_30_5_30,0,133956,133956
12,louver_hor_20_30_5_30,0,133956,133956
3,louver_hor_20_30_5_30,0,133956,133956
9,louver_hor_20_75_10,34404,99552,133956
12,louver_hor_20_75_10,34404,99552,133956
3,louver_hor_20_75_10,34404,99552,133956
9,louver_hor_20_75_10_10,0,133956,133956
12,louver_hor_20_75_10_10,0,133956,133956
3,louver_hor_20_75_10_10,0,133956,133956
9,louver_hor_20_75_10_20,0,133956,133956
12,louver_hor_20_75_10_20,0,133956,133956
3,louver_hor_20_75_10_20,0,133956,133956
9,louver_hor_20_75_10_30,0,133956,133956
12,louver_hor_20_75_10_30,0,133956,133956
3,louver_hor_20_75_10_30,0,133956,133956
9,louver_hor_20_75_5,34404,99552,133956
12,louver_hor_20_75_5,34404,99552,133956
3,louver_hor_20_75_5,34404,99552,133956
9,louver_hor_20_75_5_10,0,133956,133956
12,louver_hor_20_75_5_10,0,133956,133956
3,louver_hor_20_75_5_10,0,133956,133956
9,louver_hor_20_75_5_20,0,133956,133956
12,louver_hor_20_75_5_20,0,133956,133956
3,louver_hor_20_75_5_20,0,133956,133956
9,louver_hor_20_75_5_30,0,133956,133956
12,louver_hor_20_75_5_30,0,133956,133956
3,louver_hor_20_75_5_30,0,133956,133956
9,1_15,11903,122053,133956
12,1_15,11903,122053,133956
3,1_15,11903,122053,133956
9,1_45,34231,99725,133956
12,1_45,34231,99725,133956
3,1_45,34231,99725,133956
9,1_75,76562,57394,133956
12,1_75,76562,57394,133956
3,1_75,76562,57394,133956
9,fin_10_30_10,90768,43188,133956
12,fin_10_30_10,90768,43188,133956
3,fin_10_30_10,90768,43188,133956
9,fin_10_75_5,37332,96624,133956
12,fin_10_75_5,37332,96624,133956
3,fin_10_75_5,37332,96624,133956
9,fin_10_75_5_30,37698,96258,133956
12,fin_10_75_5_30,37698,96258,133956
3,fin_10_75_5_30,37698,96258,133956
9,fin_20_70_10_20,0,133956,133956
12,fin_20_70_10_20,0,133956,133956
3,fin_20_70_10_20,0,133956,133956
9,fritt_15_10_10,123389,10567,133956
12,fritt_15_10_10,123389,10567,133956
3,fritt_15_10_10,123389,10567,133956
9,fritt_15_5_10,130892,3064,133956
12,fritt_15_5_10,130892,3064,133956
3,fritt_15_5_10,130892,3064,133956
9,fritt_30_10_10,90480,43476,133956
12,fritt_30_10_10,90480,43476,133956
3,fritt_30_10_10,90480,43476,133956
9,fritt_30_5_10,121237,12719,133956
12,fritt_30_5_10,121237,12719,133956
3,fritt_30_5_10,121237,12719,133956
