Facade,Glare,Total,Daylit,Total
Pos2_9_facade1_0,402,6385,2815,6385
Pos2_12_facade1_0,1346,6385,1933,6385
Pos2_15_facade1_0,1054,6385,1778,6385
Pos2_9_facade1_30,412,6385,2829,6385
Pos2_12_facade1_30,1486,6385,1799,6385
Pos2_15_facade1_30,1056,6385,1828,6385
Pos2_9_facade1_60,496,6385,2770,6385
Pos2_12_facade1_60,1791,6385,1503,6385
Pos2_15_facade1_60,1076,6385,1948,6385
Pos2_9_facade1_90,920,6385,2358,6385
Pos2_12_facade1_90,1974,6385,1325,6385
Pos2_15_facade1_90,1082,6385,2069,6385
Pos2_9_fin_10_30,975,6385,2307,6385
Pos2_12_fin_10_30,1966,6385,1332,6385
Pos2_15_fin_10_30,1082,6385,2056,6385
Pos2_9_fin_10_70,438,6385,2808,6385
Pos2_12_fin_10_70,1566,6385,1723,6385
Pos2_15_fin_10_70,1059,6385,1879,6385
Pos2_9_fin_20_30,994,6385,2289,6385
Pos2_12_fin_20_30,1948,6385,1354,6385
Pos2_15_fin_20_30,1082,6385,2043,6385
Pos2_9_fin_20_70,438,6385,2821,6385
Pos2_12_fin_20_70,1570,6385,1722,6385
Pos2_15_fin_20_70,1061,6385,1917,6385
Pos2_9_fritt_15_5,1468,6385,1821,6385
Pos2_12_fritt_15_5,2229,6385,1073,6385
Pos2_15_fritt_15_5,1082,6385,2137,6385
Pos2_9_fritt_15_10,1398,6385,1890,6385
Pos2_12_fritt_15_10,2187,6385,1115,6385
Pos2_15_fritt_15_10,1082,6385,2129,6385
Pos2_9_fritt_30_5,1385,6385,1904,6385
Pos2_12_fritt_30_5,2205,6385,1097,6385
Pos2_15_fritt_30_5,1082,6385,2128,6385
Pos2_9_fritt_30_10,1047,6385,2239,6385
Pos2_12_fritt_30_10,2042,6385,1259,6385
Pos2_15_fritt_30_10,1082,6385,2082,6385
Pos2_9_louver_hor_10_30,863,6385,2424,6385
Pos2_12_louver_hor_10_30,2016,6385,1285,6385
Pos2_15_louver_hor_10_30,1082,6385,2082,6385
Pos2_9_louver_hor_10_75,407,6385,2859,6385
Pos2_12_louver_hor_10_75,1652,6385,1641,6385
Pos2_15_louver_hor_10_75,1057,6385,1875,6385
Pos2_9_louver_hor_20_30,957,6385,2328,6385
Pos2_12_louver_hor_20_30,2024,6385,1278,6385
Pos2_15_louver_hor_20_30,1082,6385,2038,6385
Pos2_9_louver_hor_20_75,439,6385,2816,6385
Pos2_12_louver_hor_20_75,1640,6385,1651,6385
Pos2_15_louver_hor_20_75,1065,6385,1880,6385
